,threshold,is_t0,score,chi2,time
0,7.0,1.0,0.9999371486299563,0.44337679520244966,2299.3342799656093
1,3.0,1.0,0.9999075283843714,0.6201458891069178,2436.377058211714
2,6.0,1.0,0.9999342325766247,0.4592479238560566,2631.150110816583
3,4.0,1.0,0.9999343590381207,0.4837367232111075,2684.3029041215777
4,5.0,1.0,0.9999403559695131,0.446191933471373,2802.3422032352537
5,7.0,0.0,0.9998593493822935,0.014128337997110725,2967.2149993367493
6,3.0,0.0,0.9997204662438502,0.01274995335660338,3010.416176976636
7,6.0,0.0,0.9998513927919916,0.01334812496562828,3027.9834530148655
8,4.0,0.0,0.9997782756606425,0.012686137609171477,3047.588662127033
9,5.0,0.0,0.9997811106929632,0.014107873466718879,3077.8791153561324
